intent,response
1. Is the event hall available for booking?,"Our event hall is available for booking by parents of our school and external individuals for various events like weddings, parties, seminars, and more. As a special perk, parents of our school are entitled to a 50% discount on hall rentals once a year."
2. Can I book the event hall for my event?,"Yes, you can book the event hall for your function. Please contact the school administration office to check availability and make the necessary arrangements. If you're a parent of our school, don't forget to ask about our special discount!"
3. How do I check the availability of the event hall?,"To check the availability of the event hall, you can contact the school administration office directly via phone or email. They'll be happy to provide you with the dates and times available for booking. "
4. What is the cost of renting the event hall?,"The cost of renting our event hall varies depending on the type of event, duration, and other factors. We offer competitive rates, and parents of our school enjoy a 50% discount once a year. For specific pricing and details, please contact our school administration office directly. We will provide you with a quote and answer any questions you may have!"
5. How much does it cost to rent the event hall?,"The cost to rent our event hall varies depending on several factors, such as the type of event, duration, and amenities required. To get an accurate quote, it's best to contact our school administration office directly. They can provide you with detailed pricing information and answer any questions you may have. As a parent of our school, you may be eligible for a 50% discount on hall rentals once a year."
6. What is the capacity of the event hall?,"Our event hall has a seating capacity of 400 people in a congregation-style setup. For banquet-style events, it can accommodate 100 people in a spacious setup or 200 people in a more compact setup. Please contact our school administration office for more details or to inquire about custom setup options."
7. How many guests can the event hall accommodate?,"Our event hall can accommodate varying numbers of guests depending on the setup. For congregation-style seating, it can hold up to 400 guests. For banquet-style seating, the capacity is around 100 guests for a spacious setup and 200 guests for a more compact setup. Contact our administration office for more information."
8. What facilities are available in the event hall?,"Our event hall is equipped with standard lighting, standing air conditioners, standing fans, and chairs and tables (optional) for your convenience. It also features a stage area and backstage area for performances. We provide a reliable power supply with a standby generator to ensure uninterrupted events. Additionally, we have multiple entry and exit points for safety and crowd management. We can also arrange for extra services like catering and sound systems to tailor the facilities to your specific needs."
9. What amenities does the event hall offer?,"Our event hall offers a range of amenities, including standard lighting, standing air conditioners, standing fans, chairs and tables (optional), a stage area, and backstage area. We also have a reliable power supply with a standby generator, multiple entry and exit points for safety, and can arrange for additional services like catering and sound systems to ensure a smooth and successful event."
10. Do you provide catering services for events?,We can arrange for catering services for your event. Please contact our school administration office to discuss your catering needs and we'll help coordinate with our recommended vendors.
11. Can you recommend catering services for my event?,We can arrange for catering services for your event. Please contact our school administration office to discuss your catering needs and we'll help coordinate with our recommended vendors.
12. Are there any restrictions on decorations in the event hall?,"There may be restrictions on decorations in the event hall, so it's best to check with our school administration office for specific guidelines. They can inform you about any rules or regulations regarding the types of decorations allowed, use of certain materials, and setup and cleanup requirements. We'll work with you to ensure your event is decorated beautifully while respecting the venue's integrity."
13. Can I decorate the event hall as per my requirements?,"You can decorate the event hall according to your requirements, but please check with our school administration office first to ensure your plans comply with any venue rules or regulations. They're happy to guide you on what's allowed and what you need to consider when decorating."
14. What is the cancellation policy for event hall bookings?,"Our cancellation policy for event hall bookings varies depending on the terms agreed upon at the time of booking. Generally, cancellations made well in advance may incur a partial refund or no penalty, while last-minute cancellations might result in forfeiture of the deposit or full payment. For detailed information, please contact our school administration office, and we'll provide you with specifics based on your booking agreement."
15. Can I get a refund if I cancel my event?,Refund policies for cancellations vary. Please review your booking agreement or contact our school administration office directly to understand the terms and conditions regarding cancellations and potential refunds. They'll provide you with detailed information based on your specific booking.
16. How do I contact the events coordinator?,"You can contact our events coordinator through our school administration office. You can reach them by phone or email, and they'll be happy to assist you with your event-related queries. The contact details are available on our website or can be provided upon request."
17. What is the process for booking the event hall?,"To book our event hall, you can contact our school administration office to inquire about availability and details. They'll guide you through the process, which typically involves filling out a booking form, paying a deposit or full payment, and agreeing to the terms and conditions. The office will also provide information on any additional requirements or services you may need for your event."
18. Can I get a tour of the event hall?,"Yes, you can schedule a tour of the event hall by contacting our school administration office. They'll arrange a time for you to visit the venue, see the facilities, and discuss your event needs with our team. This will give you a better understanding of the space and help you plan your event."
19. Are there any audio-visual facilities available in the event hall?,"Yes, our event hall is equipped with audio-visual facilities. However, using these facilities incurs an additional fee, which will be added to your overall event cost. For more details on the available equipment and pricing, please contact our school administration office."
